"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","UNEMP","TOT","PC_LF","A","1976",1.809018,
"AUT","UNEMP","TOT","PC_LF","A","1977",1.638162,
"AUT","UNEMP","TOT","PC_LF","A","1978",2.062655,
"AUT","UNEMP","TOT","PC_LF","A","1979",2.104195,
"AUT","UNEMP","TOT","PC_LF","A","1980",1.854277,
"AUT","UNEMP","TOT","PC_LF","A","1981",2.515609,
"AUT","UNEMP","TOT","PC_LF","A","1982",3.464959,
"AUT","UNEMP","TOT","PC_LF","A","1983",4.107561,
"AUT","UNEMP","TOT","PC_LF","A","1984",3.800045,
"AUT","UNEMP","TOT","PC_LF","A","1985",3.599384,
"AUT","UNEMP","TOT","PC_LF","A","1986",3.134631,
"AUT","UNEMP","TOT","PC_LF","A","1987",3.794924,
"AUT","UNEMP","TOT","PC_LF","A","1988",3.563734,
"AUT","UNEMP","TOT","PC_LF","A","1989",3.132628,
"AUT","UNEMP","TOT","PC_LF","A","1990",3.240462,
"AUT","UNEMP","TOT","PC_LF","A","1991",3.475676,
"AUT","UNEMP","TOT","PC_LF","A","1992",3.593146,
"AUT","UNEMP","TOT","PC_LF","A","1993",4.217466,"B"
"AUT","UNEMP","TOT","PC_LF","A","1994",3.577942,
"AUT","UNEMP","TOT","PC_LF","A","1995",3.699785,
"AUT","UNEMP","TOT","PC_LF","A","1996",4.139831,
"AUT","UNEMP","TOT","PC_LF","A","1997",4.242406,
"AUT","UNEMP","TOT","PC_LF","A","1998",4.235766,
"AUT","UNEMP","TOT","PC_LF","A","1999",3.727968,
"AUT","UNEMP","TOT","PC_LF","A","2000",3.533025,
"AUT","UNEMP","TOT","PC_LF","A","2001",3.59086,
"AUT","UNEMP","TOT","PC_LF","A","2002",3.951978,
"AUT","UNEMP","TOT","PC_LF","A","2003",4.286487,"B"
"AUT","UNEMP","TOT","PC_LF","A","2004",5.49025,"B"
"AUT","UNEMP","TOT","PC_LF","A","2005",5.628417,
"AUT","UNEMP","TOT","PC_LF","A","2006",5.246718,"B"
"AUT","UNEMP","TOT","PC_LF","A","2007",4.858952,
"AUT","UNEMP","TOT","PC_LF","A","2008",4.129104,
"AUT","UNEMP","TOT","PC_LF","A","2009",5.298988,
"AUT","UNEMP","TOT","PC_LF","A","2010",4.82168,
"AUT","UNEMP","TOT","PC_LF","A","2011",4.566622,
"AUT","UNEMP","TOT","PC_LF","A","2012",4.863267,
"AUT","UNEMP","TOT","PC_LF","A","2013",5.336031,
"AUT","UNEMP","TOT","PC_LF","A","2014",5.621219,
"AUT","UNEMP","TOT","PC_LF","A","2015",5.723468,
"AUT","UNEMP","TOT","PC_LF","A","2016",6.014071,
"AUT","UNEMP","TOT","PC_LF","A","2017",5.500528,
"BEL","UNEMP","TOT","PC_LF","A","1999",8.561709,
"BEL","UNEMP","TOT","PC_LF","A","2000",7.00965,"B"
"BEL","UNEMP","TOT","PC_LF","A","2001",6.607931,
"BEL","UNEMP","TOT","PC_LF","A","2002",7.511277,
"BEL","UNEMP","TOT","PC_LF","A","2003",8.172144,
"BEL","UNEMP","TOT","PC_LF","A","2004",8.387378,"B"
"BEL","UNEMP","TOT","PC_LF","A","2005",8.438975,
"BEL","UNEMP","TOT","PC_LF","A","2006",8.249064,
"BEL","UNEMP","TOT","PC_LF","A","2007",7.459264,
"BEL","UNEMP","TOT","PC_LF","A","2008",6.970808,
"BEL","UNEMP","TOT","PC_LF","A","2009",7.906314,
"BEL","UNEMP","TOT","PC_LF","A","2010",8.293048,"B"
"BEL","UNEMP","TOT","PC_LF","A","2011",7.139795,
"BEL","UNEMP","TOT","PC_LF","A","2012",7.537931,
"BEL","UNEMP","TOT","PC_LF","A","2013",8.425185,
"BEL","UNEMP","TOT","PC_LF","A","2014",8.52289,
"BEL","UNEMP","TOT","PC_LF","A","2015",8.481071,
"BEL","UNEMP","TOT","PC_LF","A","2016",7.833329,"B"
"BEL","UNEMP","TOT","PC_LF","A","2017",7.088736,
"CAN","UNEMP","TOT","PC_LF","A","1975",6.916667,"B"
"CAN","UNEMP","TOT","PC_LF","A","1976",7.083333,
"CAN","UNEMP","TOT","PC_LF","A","1977",8.058333,
"CAN","UNEMP","TOT","PC_LF","A","1978",8.383333,
"CAN","UNEMP","TOT","PC_LF","A","1979",7.55,
"CAN","UNEMP","TOT","PC_LF","A","1980",7.55,
"CAN","UNEMP","TOT","PC_LF","A","1981",7.633333,
"CAN","UNEMP","TOT","PC_LF","A","1982",11.03333,
"CAN","UNEMP","TOT","PC_LF","A","1983",12.03333,
"CAN","UNEMP","TOT","PC_LF","A","1984",11.35,
"CAN","UNEMP","TOT","PC_LF","A","1985",10.66667,
"CAN","UNEMP","TOT","PC_LF","A","1986",9.675,
"CAN","UNEMP","TOT","PC_LF","A","1987",8.833333,
"CAN","UNEMP","TOT","PC_LF","A","1988",7.766667,
"CAN","UNEMP","TOT","PC_LF","A","1989",7.566667,
"CAN","UNEMP","TOT","PC_LF","A","1990",8.15,
"CAN","UNEMP","TOT","PC_LF","A","1991",10.325,
"CAN","UNEMP","TOT","PC_LF","A","1992",11.19167,
"CAN","UNEMP","TOT","PC_LF","A","1993",11.4,
"CAN","UNEMP","TOT","PC_LF","A","1994",10.41667,
"CAN","UNEMP","TOT","PC_LF","A","1995",9.508333,
"CAN","UNEMP","TOT","PC_LF","A","1996",9.608334,
"CAN","UNEMP","TOT","PC_LF","A","1997",9.116667,
"CAN","UNEMP","TOT","PC_LF","A","1998",8.283334,
"CAN","UNEMP","TOT","PC_LF","A","1999",7.591667,
"CAN","UNEMP","TOT","PC_LF","A","2000",6.816667,
"CAN","UNEMP","TOT","PC_LF","A","2001",7.216667,
"CAN","UNEMP","TOT","PC_LF","A","2002",7.675,
"CAN","UNEMP","TOT","PC_LF","A","2003",7.575,
"CAN","UNEMP","TOT","PC_LF","A","2004",7.191667,
"CAN","UNEMP","TOT","PC_LF","A","2005",6.758333,
"CAN","UNEMP","TOT","PC_LF","A","2006",6.333333,
"CAN","UNEMP","TOT","PC_LF","A","2007",6.05,
"CAN","UNEMP","TOT","PC_LF","A","2008",6.141667,
"CAN","UNEMP","TOT","PC_LF","A","2009",8.35,
"CAN","UNEMP","TOT","PC_LF","A","2010",8.058333,
"CAN","UNEMP","TOT","PC_LF","A","2011",7.525,
"CAN","UNEMP","TOT","PC_LF","A","2012",7.291667,
"CAN","UNEMP","TOT","PC_LF","A","2013",7.083333,
"CAN","UNEMP","TOT","PC_LF","A","2014",6.908333,
"CAN","UNEMP","TOT","PC_LF","A","2015",6.908333,
"CAN","UNEMP","TOT","PC_LF","A","2016",6.991667,
"CAN","UNEMP","TOT","PC_LF","A","2017",6.341667,
"CZE","UNEMP","TOT","PC_LF","A","1998",6.476871,
"CZE","UNEMP","TOT","PC_LF","A","1999",8.755593,
"CZE","UNEMP","TOT","PC_LF","A","2000",8.823602,
"CZE","UNEMP","TOT","PC_LF","A","2001",8.165375,
"CZE","UNEMP","TOT","PC_LF","A","2002",7.313614,
"CZE","UNEMP","TOT","PC_LF","A","2003",7.812037,
"CZE","UNEMP","TOT","PC_LF","A","2004",8.322025,"B"
"CZE","UNEMP","TOT","PC_LF","A","2005",7.928005,
"CZE","UNEMP","TOT","PC_LF","A","2006",7.148034,
"CZE","UNEMP","TOT","PC_LF","A","2007",5.321516,
"CZE","UNEMP","TOT","PC_LF","A","2008",4.392356,
"CZE","UNEMP","TOT","PC_LF","A","2009",6.658732,
"CZE","UNEMP","TOT","PC_LF","A","2010",7.279707,"B"
"CZE","UNEMP","TOT","PC_LF","A","2011",6.711369,
"CZE","UNEMP","TOT","PC_LF","A","2012",6.977849,
"CZE","UNEMP","TOT","PC_LF","A","2013",6.953799,
"CZE","UNEMP","TOT","PC_LF","A","2014",6.109115,
"CZE","UNEMP","TOT","PC_LF","A","2015",5.046221,
"CZE","UNEMP","TOT","PC_LF","A","2016",3.952049,
"CZE","UNEMP","TOT","PC_LF","A","2017",2.890817,
"DNK","UNEMP","TOT","PC_LF","A","1995",7.09748,
"DNK","UNEMP","TOT","PC_LF","A","1996",6.903341,
"DNK","UNEMP","TOT","PC_LF","A","1997",6.157914,
"DNK","UNEMP","TOT","PC_LF","A","1998",5.536391,"B"
"DNK","UNEMP","TOT","PC_LF","A","1999",5.586067,
"DNK","UNEMP","TOT","PC_LF","A","2000",4.625956,
"DNK","UNEMP","TOT","PC_LF","A","2001",4.606088,
"DNK","UNEMP","TOT","PC_LF","A","2002",4.586689,
"DNK","UNEMP","TOT","PC_LF","A","2003",5.406289,
"DNK","UNEMP","TOT","PC_LF","A","2004",5.507644,"B"
"DNK","UNEMP","TOT","PC_LF","A","2005",4.830782,
"DNK","UNEMP","TOT","PC_LF","A","2006",3.898582,
"DNK","UNEMP","TOT","PC_LF","A","2007",3.79897,
"DNK","UNEMP","TOT","PC_LF","A","2008",3.43347,
"DNK","UNEMP","TOT","PC_LF","A","2009",6.009111,
"DNK","UNEMP","TOT","PC_LF","A","2010",7.463035,
"DNK","UNEMP","TOT","PC_LF","A","2011",7.572792,
"DNK","UNEMP","TOT","PC_LF","A","2012",7.524072,
"DNK","UNEMP","TOT","PC_LF","A","2013",6.995368,
"DNK","UNEMP","TOT","PC_LF","A","2014",6.59281,
"DNK","UNEMP","TOT","PC_LF","A","2015",6.169618,"B"
"DNK","UNEMP","TOT","PC_LF","A","2016",6.180843,"B"
"DNK","UNEMP","TOT","PC_LF","A","2017",5.743293,
"FIN","UNEMP","TOT","PC_LF","A","1998",11.41814,"B"
"FIN","UNEMP","TOT","PC_LF","A","1999",10.21153,"B"
"FIN","UNEMP","TOT","PC_LF","A","2000",9.800185,"B"
"FIN","UNEMP","TOT","PC_LF","A","2001",9.121559,
"FIN","UNEMP","TOT","PC_LF","A","2002",9.081173,
"FIN","UNEMP","TOT","PC_LF","A","2003",9.016909,
"FIN","UNEMP","TOT","PC_LF","A","2004",8.816031,"B"
"FIN","UNEMP","TOT","PC_LF","A","2005",8.37867,
"FIN","UNEMP","TOT","PC_LF","A","2006",7.714881,
"FIN","UNEMP","TOT","PC_LF","A","2007",6.853993,"B"
"FIN","UNEMP","TOT","PC_LF","A","2008",6.362757,
"FIN","UNEMP","TOT","PC_LF","A","2009",8.237782,
"FIN","UNEMP","TOT","PC_LF","A","2010",8.386981,
"FIN","UNEMP","TOT","PC_LF","A","2011",7.774969,
"FIN","UNEMP","TOT","PC_LF","A","2012",7.68181,
"FIN","UNEMP","TOT","PC_LF","A","2013",8.186392,
"FIN","UNEMP","TOT","PC_LF","A","2014",8.657802,
"FIN","UNEMP","TOT","PC_LF","A","2015",9.367311,
"FIN","UNEMP","TOT","PC_LF","A","2016",8.811286,
"FIN","UNEMP","TOT","PC_LF","A","2017",8.63445,
"FRA","UNEMP","TOT","PC_LF","A","2003",8.099563,
"FRA","UNEMP","TOT","PC_LF","A","2004",8.468398,"B"
"FRA","UNEMP","TOT","PC_LF","A","2005",8.493855,
"FRA","UNEMP","TOT","PC_LF","A","2006",8.449007,
"FRA","UNEMP","TOT","PC_LF","A","2007",7.658579,
"FRA","UNEMP","TOT","PC_LF","A","2008",7.062972,
"FRA","UNEMP","TOT","PC_LF","A","2009",8.735972,
"FRA","UNEMP","TOT","PC_LF","A","2010",8.871792,
"FRA","UNEMP","TOT","PC_LF","A","2011",8.811044,
"FRA","UNEMP","TOT","PC_LF","A","2012",9.399351,
"FRA","UNEMP","TOT","PC_LF","A","2013",9.921325,"B"
"FRA","UNEMP","TOT","PC_LF","A","2014",10.29171,
"FRA","UNEMP","TOT","PC_LF","A","2015",10.35981,
"FRA","UNEMP","TOT","PC_LF","A","2016",10.05661,
"FRA","UNEMP","TOT","PC_LF","A","2017",9.398605,
"DEU","UNEMP","TOT","PC_LF","A","1975",3.103751,"E"
"DEU","UNEMP","TOT","PC_LF","A","1976",3.090683,"E"
"DEU","UNEMP","TOT","PC_LF","A","1977",3.009056,"E"
"DEU","UNEMP","TOT","PC_LF","A","1978",2.889838,"E"
"DEU","UNEMP","TOT","PC_LF","A","1979",2.528004,"E"
"DEU","UNEMP","TOT","PC_LF","A","1980",2.469315,"E"
"DEU","UNEMP","TOT","PC_LF","A","1981",3.487885,"E"
"DEU","UNEMP","TOT","PC_LF","A","1982",4.983604,"E"
"DEU","UNEMP","TOT","PC_LF","A","1983",6.13138,"E"
"DEU","UNEMP","TOT","PC_LF","A","1984",6.139421,"E"
"DEU","UNEMP","TOT","PC_LF","A","1985",6.193343,"E"
"DEU","UNEMP","TOT","PC_LF","A","1986",5.929549,"E"
"DEU","UNEMP","TOT","PC_LF","A","1987",5.891681,"E"
"DEU","UNEMP","TOT","PC_LF","A","1988",5.878985,"E"
"DEU","UNEMP","TOT","PC_LF","A","1989",5.311517,"E"
"DEU","UNEMP","TOT","PC_LF","A","1990",4.817337,"E"
"DEU","UNEMP","TOT","PC_LF","A","1991",5.569215,
"DEU","UNEMP","TOT","PC_LF","A","1992",6.621125,
"DEU","UNEMP","TOT","PC_LF","A","1993",7.869413,
"DEU","UNEMP","TOT","PC_LF","A","1994",8.401136,
"DEU","UNEMP","TOT","PC_LF","A","1995",8.126454,
"DEU","UNEMP","TOT","PC_LF","A","1996",8.86304,
"DEU","UNEMP","TOT","PC_LF","A","1997",9.817107,
"DEU","UNEMP","TOT","PC_LF","A","1998",9.201705,"B"
"DEU","UNEMP","TOT","PC_LF","A","1999",8.414573,
"DEU","UNEMP","TOT","PC_LF","A","2000",7.755578,
"DEU","UNEMP","TOT","PC_LF","A","2001",7.836031,
"DEU","UNEMP","TOT","PC_LF","A","2002",8.653863,
"DEU","UNEMP","TOT","PC_LF","A","2003",9.637083,
"DEU","UNEMP","TOT","PC_LF","A","2004",9.793687,"B"
"DEU","UNEMP","TOT","PC_LF","A","2005",11.16768,
"DEU","UNEMP","TOT","PC_LF","A","2006",10.25272,
"DEU","UNEMP","TOT","PC_LF","A","2007",8.66153,
"DEU","UNEMP","TOT","PC_LF","A","2008",7.527764,
"DEU","UNEMP","TOT","PC_LF","A","2009",7.743155,"B"
"DEU","UNEMP","TOT","PC_LF","A","2010",6.967637,"B"
"DEU","UNEMP","TOT","PC_LF","A","2011",5.827424,
"DEU","UNEMP","TOT","PC_LF","A","2012",5.380757,
"DEU","UNEMP","TOT","PC_LF","A","2013",5.231962,
"DEU","UNEMP","TOT","PC_LF","A","2014",4.981592,
"DEU","UNEMP","TOT","PC_LF","A","2015",4.624955,
"DEU","UNEMP","TOT","PC_LF","A","2016",4.122733,
"DEU","UNEMP","TOT","PC_LF","A","2017",3.746631,
"GRC","UNEMP","TOT","PC_LF","A","1998",11.22358,
"GRC","UNEMP","TOT","PC_LF","A","1999",12.09605,
"GRC","UNEMP","TOT","PC_LF","A","2000",11.35194,"B"
"GRC","UNEMP","TOT","PC_LF","A","2001",10.79246,
"GRC","UNEMP","TOT","PC_LF","A","2002",10.35682,
"GRC","UNEMP","TOT","PC_LF","A","2003",9.793463,"B"
"GRC","UNEMP","TOT","PC_LF","A","2004",10.59146,"B"
"GRC","UNEMP","TOT","PC_LF","A","2005",9.994969,
"GRC","UNEMP","TOT","PC_LF","A","2006",9.008785,
"GRC","UNEMP","TOT","PC_LF","A","2007",8.397298,
"GRC","UNEMP","TOT","PC_LF","A","2008",7.760761,"B"
"GRC","UNEMP","TOT","PC_LF","A","2009",9.615903,
"GRC","UNEMP","TOT","PC_LF","A","2010",12.71716,
"GRC","UNEMP","TOT","PC_LF","A","2011",17.87071,
"GRC","UNEMP","TOT","PC_LF","A","2012",24.44174,
"GRC","UNEMP","TOT","PC_LF","A","2013",27.46715,
"GRC","UNEMP","TOT","PC_LF","A","2014",26.49027,
"GRC","UNEMP","TOT","PC_LF","A","2015",24.90084,
"GRC","UNEMP","TOT","PC_LF","A","2016",23.54104,
"GRC","UNEMP","TOT","PC_LF","A","2017",21.48901,
"HUN","UNEMP","TOT","PC_LF","A","1999",6.995957,
"HUN","UNEMP","TOT","PC_LF","A","2000",6.416963,"B"
"HUN","UNEMP","TOT","PC_LF","A","2001",5.72702,
"HUN","UNEMP","TOT","PC_LF","A","2002",5.829966,
"HUN","UNEMP","TOT","PC_LF","A","2003",5.869752,
"HUN","UNEMP","TOT","PC_LF","A","2004",6.079033,"B"
"HUN","UNEMP","TOT","PC_LF","A","2005",7.188301,
"HUN","UNEMP","TOT","PC_LF","A","2006",7.494521,
"HUN","UNEMP","TOT","PC_LF","A","2007",7.406472,
"HUN","UNEMP","TOT","PC_LF","A","2008",7.817173,
"HUN","UNEMP","TOT","PC_LF","A","2009",10.02932,
"HUN","UNEMP","TOT","PC_LF","A","2010",11.17377,
"HUN","UNEMP","TOT","PC_LF","A","2011",11.03269,
"HUN","UNEMP","TOT","PC_LF","A","2012",11.00812,
"HUN","UNEMP","TOT","PC_LF","A","2013",10.18524,
"HUN","UNEMP","TOT","PC_LF","A","2014",7.728486,
"HUN","UNEMP","TOT","PC_LF","A","2015",6.817803,
"HUN","UNEMP","TOT","PC_LF","A","2016",5.119285,
"HUN","UNEMP","TOT","PC_LF","A","2017",4.157162,
"ISL","UNEMP","TOT","PC_LF","A","2003",3.337432,
"ISL","UNEMP","TOT","PC_LF","A","2004",2.985949,
"ISL","UNEMP","TOT","PC_LF","A","2005",2.547312,
"ISL","UNEMP","TOT","PC_LF","A","2006",2.825685,
"ISL","UNEMP","TOT","PC_LF","A","2007",2.235352,"B"
"ISL","UNEMP","TOT","PC_LF","A","2008",2.944448,
"ISL","UNEMP","TOT","PC_LF","A","2009",7.218621,
"ISL","UNEMP","TOT","PC_LF","A","2010",7.548411,
"ISL","UNEMP","TOT","PC_LF","A","2011",7.033196,
"ISL","UNEMP","TOT","PC_LF","A","2012",5.983469,
"ISL","UNEMP","TOT","PC_LF","A","2013",5.381035,
"ISL","UNEMP","TOT","PC_LF","A","2014",4.890404,
"ISL","UNEMP","TOT","PC_LF","A","2015",3.966664,
"ISL","UNEMP","TOT","PC_LF","A","2016",2.968629,
"ISL","UNEMP","TOT","PC_LF","A","2017",2.743788,
"IRL","UNEMP","TOT","PC_LF","A","1998",7.573754,
"IRL","UNEMP","TOT","PC_LF","A","1999",5.616338,
"IRL","UNEMP","TOT","PC_LF","A","2000",4.332074,
"IRL","UNEMP","TOT","PC_LF","A","2001",3.914628,
"IRL","UNEMP","TOT","PC_LF","A","2002",4.443757,
"IRL","UNEMP","TOT","PC_LF","A","2003",4.737063,
"IRL","UNEMP","TOT","PC_LF","A","2004",4.538512,"B"
"IRL","UNEMP","TOT","PC_LF","A","2005",4.338238,
"IRL","UNEMP","TOT","PC_LF","A","2006",4.411824,"B"
"IRL","UNEMP","TOT","PC_LF","A","2007",4.979443,
"IRL","UNEMP","TOT","PC_LF","A","2008",6.773265,
"IRL","UNEMP","TOT","PC_LF","A","2009",12.60812,
"IRL","UNEMP","TOT","PC_LF","A","2010",14.53338,
"IRL","UNEMP","TOT","PC_LF","A","2011",15.35064,
"IRL","UNEMP","TOT","PC_LF","A","2012",15.45024,
"IRL","UNEMP","TOT","PC_LF","A","2013",13.74729,
"IRL","UNEMP","TOT","PC_LF","A","2014",11.86002,
"IRL","UNEMP","TOT","PC_LF","A","2015",9.906131,
"IRL","UNEMP","TOT","PC_LF","A","2016",8.36801,
"IRL","UNEMP","TOT","PC_LF","A","2017",6.711794,"B"
"ITA","UNEMP","TOT","PC_LF","A","1998",11.84062,
"ITA","UNEMP","TOT","PC_LF","A","1999",11.42852,
"ITA","UNEMP","TOT","PC_LF","A","2000",10.58827,
"ITA","UNEMP","TOT","PC_LF","A","2001",9.524396,
"ITA","UNEMP","TOT","PC_LF","A","2002",9.007127,
"ITA","UNEMP","TOT","PC_LF","A","2003",8.672171,"B"
"ITA","UNEMP","TOT","PC_LF","A","2004",7.998679,"B"
"ITA","UNEMP","TOT","PC_LF","A","2005",7.728764,
"ITA","UNEMP","TOT","PC_LF","A","2006",6.775816,
"ITA","UNEMP","TOT","PC_LF","A","2007",6.075274,
"ITA","UNEMP","TOT","PC_LF","A","2008",6.723351,
"ITA","UNEMP","TOT","PC_LF","A","2009",7.747658,
"ITA","UNEMP","TOT","PC_LF","A","2010",8.359172,
"ITA","UNEMP","TOT","PC_LF","A","2011",8.353756,
"ITA","UNEMP","TOT","PC_LF","A","2012",10.65126,
"ITA","UNEMP","TOT","PC_LF","A","2013",12.14521,
"ITA","UNEMP","TOT","PC_LF","A","2014",12.6798,
"ITA","UNEMP","TOT","PC_LF","A","2015",11.89388,
"ITA","UNEMP","TOT","PC_LF","A","2016",11.68803,
"ITA","UNEMP","TOT","PC_LF","A","2017",11.21117,
"JPN","UNEMP","TOT","PC_LF","A","1975",1.891667,
"JPN","UNEMP","TOT","PC_LF","A","1976",2.008333,
"JPN","UNEMP","TOT","PC_LF","A","1977",2.025,
"JPN","UNEMP","TOT","PC_LF","A","1978",2.241667,
"JPN","UNEMP","TOT","PC_LF","A","1979",2.083333,
"JPN","UNEMP","TOT","PC_LF","A","1980",2.008333,
"JPN","UNEMP","TOT","PC_LF","A","1981",2.208333,
"JPN","UNEMP","TOT","PC_LF","A","1982",2.35,
"JPN","UNEMP","TOT","PC_LF","A","1983",2.658333,
"JPN","UNEMP","TOT","PC_LF","A","1984",2.708333,
"JPN","UNEMP","TOT","PC_LF","A","1985",2.616667,
"JPN","UNEMP","TOT","PC_LF","A","1986",2.758333,
"JPN","UNEMP","TOT","PC_LF","A","1987",2.85,
"JPN","UNEMP","TOT","PC_LF","A","1988",2.533333,
"JPN","UNEMP","TOT","PC_LF","A","1989",2.266667,
"JPN","UNEMP","TOT","PC_LF","A","1990",2.108333,
"JPN","UNEMP","TOT","PC_LF","A","1991",2.1,
"JPN","UNEMP","TOT","PC_LF","A","1992",2.15,
"JPN","UNEMP","TOT","PC_LF","A","1993",2.5,
"JPN","UNEMP","TOT","PC_LF","A","1994",2.891667,
"JPN","UNEMP","TOT","PC_LF","A","1995",3.15,
"JPN","UNEMP","TOT","PC_LF","A","1996",3.35,
"JPN","UNEMP","TOT","PC_LF","A","1997",3.4,
"JPN","UNEMP","TOT","PC_LF","A","1998",4.108333,
"JPN","UNEMP","TOT","PC_LF","A","1999",4.683333,
"JPN","UNEMP","TOT","PC_LF","A","2000",4.716667,
"JPN","UNEMP","TOT","PC_LF","A","2001",5.033333,
"JPN","UNEMP","TOT","PC_LF","A","2002",5.375,
"JPN","UNEMP","TOT","PC_LF","A","2003",5.258333,
"JPN","UNEMP","TOT","PC_LF","A","2004",4.716667,
"JPN","UNEMP","TOT","PC_LF","A","2005",4.425,
"JPN","UNEMP","TOT","PC_LF","A","2006",4.141667,
"JPN","UNEMP","TOT","PC_LF","A","2007",3.841667,
"JPN","UNEMP","TOT","PC_LF","A","2008",3.991667,
"JPN","UNEMP","TOT","PC_LF","A","2009",5.066667,
"JPN","UNEMP","TOT","PC_LF","A","2010",5.05,
"JPN","UNEMP","TOT","PC_LF","A","2011",4.583333,
"JPN","UNEMP","TOT","PC_LF","A","2012",4.35,
"JPN","UNEMP","TOT","PC_LF","A","2013",4.025,
"JPN","UNEMP","TOT","PC_LF","A","2014",3.591667,
"JPN","UNEMP","TOT","PC_LF","A","2015",3.375,
"JPN","UNEMP","TOT","PC_LF","A","2016",3.116667,
"JPN","UNEMP","TOT","PC_LF","A","2017",2.808333,
"KOR","UNEMP","TOT","PC_LF","A","1989",2.583333,
"KOR","UNEMP","TOT","PC_LF","A","1990",2.458333,"B"
"KOR","UNEMP","TOT","PC_LF","A","1991",2.45,
"KOR","UNEMP","TOT","PC_LF","A","1992",2.525,
"KOR","UNEMP","TOT","PC_LF","A","1993",2.9,
"KOR","UNEMP","TOT","PC_LF","A","1994",2.475,
"KOR","UNEMP","TOT","PC_LF","A","1995",2.066667,
"KOR","UNEMP","TOT","PC_LF","A","1996",2.058333,
"KOR","UNEMP","TOT","PC_LF","A","1997",2.616667,
"KOR","UNEMP","TOT","PC_LF","A","1998",6.95,
"KOR","UNEMP","TOT","PC_LF","A","1999",6.583333,"B"
"KOR","UNEMP","TOT","PC_LF","A","2000",4.425,
"KOR","UNEMP","TOT","PC_LF","A","2001",4,
"KOR","UNEMP","TOT","PC_LF","A","2002",3.258333,
"KOR","UNEMP","TOT","PC_LF","A","2003",3.55,
"KOR","UNEMP","TOT","PC_LF","A","2004",3.658333,
"KOR","UNEMP","TOT","PC_LF","A","2005",3.75,
"KOR","UNEMP","TOT","PC_LF","A","2006",3.475,
"KOR","UNEMP","TOT","PC_LF","A","2007",3.258333,
"KOR","UNEMP","TOT","PC_LF","A","2008",3.175,
"KOR","UNEMP","TOT","PC_LF","A","2009",3.633333,
"KOR","UNEMP","TOT","PC_LF","A","2010",3.708333,
"KOR","UNEMP","TOT","PC_LF","A","2011",3.408333,
"KOR","UNEMP","TOT","PC_LF","A","2012",3.225,
